Player,Squad,Pos,Nation,Age,Min,90s,npxG,Gls,Ast,Sh,SoT,SCA,GCA,PrgP,PrgC,KP,Succ,Crs,Pass_Short_Cmp,Pass_Med_Cmp,Pass_Long_Cmp,Tkl,TklW,Int,Blocks,Clr,Recov,Won%,market_value_in_eur
Max Aarons,Bournemouth,DF,eng ENG,24.0,86,1.0,0.0,0,0,0.0,0.0,2.0,0.0,8,1,0.0,0.0,2.0,21.0,24.0,4.0,2.0,2.0,1.0,1.0,0.0,7.0,,12000000.0
Max Aarons,Valencia,"DF,MF",eng ENG,24.0,120,1.3,0.0,0,0,0.0,0.0,0.77,0.0,6,0,0.77,0.77,3.85,18.5,16.2,0.77,3.08,3.08,0.0,0.77,2.31,5.38,66.7,12000000.0
Rodrigo Abajas,Valencia,DF,es ESP,21.0,65,0.7,0.1,0,0,1.43,0.0,0.0,0.0,2,3,0.0,1.43,1.43,15.7,5.71,2.86,4.29,2.86,1.43,2.86,0.0,2.86,0.0,
James Abankwah,Udinese,"DF,MF",ie IRL,20.0,88,1.0,0.1,0,0,1.0,0.0,1.0,0.0,4,3,0.0,0.0,0.0,13.0,18.0,3.0,4.0,2.0,1.0,0.0,3.0,7.0,50.0,
Keyliane Abdallah,Marseille,FW,fr FRA,18.0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
Yunis Abdelhamid,Saint-Étienne,DF,ma MAR,36.0,1033,11.5,0.2,0,0,0.17,0.09,0.52,0.0,22,4,0.17,0.26,0.0,12.8,22.9,2.0,1.48,0.96,1.22,0.09,4.96,3.65,65.5,500000.0
Himad Abdelli,Angers,"MF,FW",dz ALG,24.0,2842,31.6,3.2,6,1,1.11,0.25,2.97,0.16,207,107,1.23,1.8,1.39,22.5,16.8,2.59,1.52,1.01,0.82,0.98,0.89,6.11,39.4,7000000.0
Mohamed Abdelmoneim,Nice,DF,eg EGY,25.0,855,9.5,0.0,0,0,0.0,0.0,0.84,0.0,52,6,0.0,0.11,0.21,20.5,25.4,2.84,2.21,1.47,1.58,0.21,5.89,5.26,62.0,
Ali Abdi,Nice,"DF,MF",tn TUN,30.0,1393,15.5,4.3,5,2,1.87,0.71,2.9,0.19,42,35,1.29,0.77,3.29,17.4,12.1,2.13,2.77,1.61,1.29,1.42,2.39,4.65,61.1,3000000.0
Saud Abdulhamid,Roma,DF,sa KSA,25.0,205,2.3,0.0,0,1,0.43,0.0,2.61,0.43,9,6,0.87,1.3,3.04,28.3,21.3,0.87,1.3,0.87,0.87,1.3,0.0,1.3,0.0,4000000.0
